name1,name2,similarity
FORENINGEN AL-AQSA,FORENINGEN AL-AQSA,1.0
FORENINGEN AL-AQSA,FORENINGEN AL-AQSA,1.0
ISLAMIC CHARITABLE SOCIETY FOR AL-AQSA,ISLAMIC CHARITABLE SOCIETY FOR AL-AQSA,1.0
ISLAMIC CHARITABLE SOCIETY FOR AL-AQSA,ISLAMIC CHARITABLE SOCIETY FOR AL-AQSA,1.0
ISLAMIC CHARITABLE SOCIETY FOR AL-AQSA,ISLAMIC CHARITABLE SOCIETY FOR AL-AQSA,1.0
ISLAMIC CHARITABLE SOCIETY FOR AL-AQSA,ISLAMIC CHARITABLE SOCIETY FOR AL-AQSA,1.0
ISLAMIC CHARITABLE SOCIETY FOR AL-AQSA,ISLAMIC CHARITABLE SOCIETY FOR AL-AQSA,1.0
ISLAMIC CHARITABLE SOCIETY FOR AL-AQSA,ISLAMIC CHARITABLE SOCIETY FOR AL-AQSA,1.0
ISLAMIC CHARITABLE SOCIETY FOR AL-AQSA,ISLAMIC CHARITABLE SOCIETY FOR AL-AQSA,1.0
ISLAMIC CHARITABLE SOCIETY FOR AL-AQSA,ISLAMIC CHARITABLE SOCIETY FOR AL-AQSA,1.0
MU' ASA AL-AQSA AL-KHAYRIYYA,MU' ASA AL-AQSA AL-KHAYRIYYA,1.0
MU' ASA AL-AQSA AL-KHAYRIYYA,MU' ASA AL-AQSA AL-KHAYRIYYA,1.0
MU' ASA AL-AQSA AL-KHAYRIYYA,MU' ASA AL-AQSA AL-KHAYRIYYA,1.0
MU' ASA AL-AQSA AL-KHAYRIYYA,MU' ASA AL-AQSA AL-KHAYRIYYA,1.0
MU' ASA AL-AQSA AL-KHAYRIYYA,MU' ASA AL-AQSA AL-KHAYRIYYA,1.0
MU' ASA AL-AQSA AL-KHAYRIYYA,MU' ASA AL-AQSA AL-KHAYRIYYA,1.0
MU' ASSA SANABIL AL-AQSA AL-KHAYRIYYA,MU' ASSA SANABIL AL-AQSA AL-KHAYRIYYA,1.0000000834465026
MU' ASSA SANABIL AL-AQSA AL-KHAYRIYYA,MU' ASSA SANABIL AL-AQSA AL-KHAYRIYYA,1.0000000834465026
MU' ASSA SANABIL AL-AQSA AL-KHAYRIYYA,MU' ASSA SANABIL AL-AQSA AL-KHAYRIYYA,1.0000000834465026
MU' ASSA SANABIL AL-AQSA AL-KHAYRIYYA,MU' ASSA SANABIL AL-AQSA AL-KHAYRIYYA,1.0000000834465026
MU' ASSA SANABIL AL-AQSA AL-KHAYRIYYA,MU' ASSA SANABIL AL-AQSA AL-KHAYRIYYA,1.0000000834465026
MU' ASSA SANABIL AL-AQSA AL-KHAYRIYYA,MU' ASSA SANABIL AL-AQSA AL-KHAYRIYYA,1.0000000834465026
MU' ASSA SANABIL AL-AQSA AL-KHAYRIYYA,MU' ASSA SANABIL AL-AQSA AL-KHAYRIYYA,1.0000000834465026
MU' ASSA SANABIL AL-AQSA AL-KHAYRIYYA,MU' ASSA SANABIL AL-AQSA AL-KHAYRIYYA,1.0000000834465026
SANABIL AL-AQSA CHARITABLE FOUNDATION,SANABIL AL-AQSA CHARITABLE FOUNDATION,1.0000000834465026
SANABIL AL-AQSA CHARITABLE FOUNDATION,SANABIL AL-AQSA CHARITABLE FOUNDATION,1.0000000834465026
SANABIL AL-AQSA CHARITABLE FOUNDATION,SANABIL AL-AQSA CHARITABLE FOUNDATION,1.0000000834465026
SANABIL AL-AQSA CHARITABLE FOUNDATION,SANABIL AL-AQSA CHARITABLE FOUNDATION,1.0000000834465026
SANABIL AL-AQSA CHARITABLE FOUNDATION,SANABIL AL-AQSA CHARITABLE FOUNDATION,1.0000000834465026
SANABIL AL-AQSA CHARITABLE FOUNDATION,SANABIL AL-AQSA CHARITABLE FOUNDATION,1.0000000834465026
SANABIL AL-AQSA CHARITABLE FOUNDATION,SANABIL AL-AQSA CHARITABLE FOUNDATION,1.0000000834465026
STICHTING AL-AQSA,STICHTING AL-AQSA,0.9999998331069946
STICHTING AL-AQSA,STICHTING AL-AQSA,0.9999998331069946
STICHTING AL-AQSA,STICHTING AL-AQSA,0.9999998331069946
STICHTING AL-AQSA,STICHTING AL-AQSA,0.9999998331069946
STICHTING AL-AQSA,STICHTING AL-AQSA,0.9999998331069946
SWEDISH CHARITABLE AQSA EST.,SWEDISH CHARITABLE AQSA EST.,0.9999999165534972
SWEDISH CHARITABLE AQSA EST.,SWEDISH CHARITABLE AQSA EST.,0.9999999165534972
SWEDISH CHARITABLE AQSA EST.,SWEDISH CHARITABLE AQSA EST.,0.9999999165534972
SWEDISH CHARITABLE AQSA EST.,SWEDISH CHARITABLE AQSA EST.,0.9999999165534972
SWEDISH CHARITABLE AQSA EST.,SWEDISH CHARITABLE AQSA EST.,0.9999999165534972
NUSRAT AL-AQSA AL-SHARIF,NUSRAT AL-AQSA AL-SHARIF,0.9999999165534972
NUSRAT AL-AQSA AL-SHARIF,NUSRAT AL-AQSA AL-SHARIF,0.9999999165534972
NUSRAT AL-AQSA AL-SHARIF,NUSRAT AL-AQSA AL-SHARIF,0.9999999165534972
NUSRAT AL-AQSA AL-SHARIF,NUSRAT AL-AQSA AL-SHARIF,0.9999999165534972
AL-AQSA SPANMAL STIFTELSE,AL-AQSA SPANMAL STIFTELSE,0.9999999582767487
AL-AQSA SPANMAL STIFTELSE,AL-AQSA SPANMAL STIFTELSE,0.9999999582767487
AL-AQSA SPANMAL STIFTELSE,AL-AQSA SPANMAL STIFTELSE,0.9999999582767487
AL-AQSA SPANMAL STIFTELSE,AL-AQSA SPANMAL STIFTELSE,0.9999999582767487
AL-AQSA ASBL,AL-AQSA ASBL,0.9999999165534972
